"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"8205A1","1","","","","","Package_TO_SOT_SMD:SOT-23-6",""
"C1,C2","2","0.1u","","","","",""
"C3,C4,C5","3","10u","","","","",""
"C6","1","100n","","","","",""
"J1","1","Micro_SD_Card_Det1","","","","Connector_Card:microSD_HC_Hirose_DM3AT-SF-PEJM5","https://datasheet.lcsc.com/lcsc/2110151630_XKB-Connectivity-XKTF-015-N_C381082.pdf"
"J2","1","USB_C_Receptacle_USB2.0_16P","","","","Connector_USB:USB_C_Receptacle_G-Switch_GT-USB-7010ASV","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J3","1","Conn_01x08_Pin","","","","Connector_Harwin:Harwin_M20-89008xx_1x08_P2.54mm_Horizontal",""
"J4","1","AudioJack3","","","","Connector_Audio:Jack_3.5mm_CUI_SJ1-3523N_Horizontal",""
"R1","1","1K2","","","","",""
"R2,R3","2","5K1","","","","",""
"R4","1","1k","","","","",""
"R5","1","100","","","","",""
"R6,R7","2","10k","","","","",""
"SW1,SW2,SW3,SW4,SW5,SW6,SW7","7","SW_MEC_5G","","","","Button_Switch_SMD:SW_MEC_5GSH9","https://www.apem.com/medias/download/MEC_switches_serie_MULTIMEC5G.pdf"
"U1","1","PCM5102A","","","","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","https://www.ti.com/lit/ds/symlink/pcm5102a.pdf"
"U2","1","ESP32-S3-WROOM-1","","","","RF_Module:ESP32-S3-WROOM-1","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf"
"U3","1","TP4056-42-ESOP8","","","","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias","https://www.lcsc.com/datasheet/lcsc_datasheet_2410121619_TOPPOWER-Nanjing-Extension-Microelectronics-TP4056-42-ESOP8_C16581.pdf"
"U4","1","DW01A","","","","Package_TO_SOT_SMD:SOT-23-6","https://hmsemi.com/downfile/DW01A.PDF"
"U5","1","ME6211C33M5","","","","Package_TO_SOT_SMD:SOT-23-5","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_MICRONE-Nanjing-Micro-One-Elec-ME6211C33R5G_C235316.pdf"
